COD;COUNTRY;YEAR;IDH;IDHr;INBpc;CONTCORR;EGOB;ESTPOL;CALIREG;RJUE;VOZYREND;GasSocial;IDEM;IPC;ILIB;IGINIGM;IGINICEPAL;RJUEd;GasSociald
BRA;Brazil;2011;0.73;0.719;14921;0.17;-0.12;-0.13;0.17;0.04;0.51;14.9;71.2;37.7;2;53.1;0.526;0;-0.1
BRA;Brazil;2012;0.734;0.724;15083;-0.04;-0.13;0.05;0.09;-0.07;0.48;15.3;71.2;43;2;52.6;0.523;-0.11;0.4
BRA;Brazil;2013;0.752;0.748;15579;-0.08;-0.09;-0.26;0.07;-0.08;0.42;15.4;71.2;42;2;52.2;0.522;-0.01;0.1
BRA;Brazil;2014;0.755;0.753;15450;-0.34;-0.14;-0.07;-0.08;-0.05;0.47;15.9;73.8;43;2;51.9;0.514;0.03;0.5
BRA;Brazil;2015;0.755;0.757;14775;-0.4;-0.18;-0.33;-0.19;-0.15;0.46;16.3;69.6;38;2;51.6;0.511;-0.1;0.4
BRA;Brazil;2016;0.757;0.763;14139;-0.38;-0.17;-0.38;-0.21;-0.16;0.45;17.3;69;40;2;51.4;0.532;-0.01;1
BRA;Brazil;2017;0.76;0.767;14248;-0.53;-0.29;-0.42;-0.11;-0.28;0.45;17.6;68.6;37;2;51.3;0.533;-0.12;0.3
BRA;Brazil;2018;0.761;0.768;14182;-0.4;-0.45;-0.39;-0.32;-0.25;0.4;17.7;69.7;35;2;51.3;0.54;0.03;0.1
CHL;Chile;2007;0.801;0.816;17399;1.4;1.28;0.41;1.51;1.29;1.1;11.8;78.9;70;1;48.7;0.4805;0.02;0.3
CHL;Chile;2008;0.811;0.826;18659;1.38;1.17;0.43;1.52;1.31;1.01;13.5;78.9;69;1;48.5;0.47925;0.02;1.7
CHL;Chile;2009;0.819;0.84;18342;1.38;1.25;0.6;1.46;1.3;1.02;15.7;77.8;67;1;48.4;0.478;-0.01;2.2
CHL;Chile;2010;0.8;0.808;19074;1.5;1.27;0.68;1.44;1.34;1.1;14.8;76.7;72;1;48.2;0.4735;0.04;-0.9
CHL;Chile;2011;0.812;0.821;20264;1.53;1.25;0.45;1.46;1.37;1.07;14.3;75.4;72.1;1;47.9;0.469;0.03;-0.5
CHL;Chile;2012;0.818;0.827;21468;1.58;1.26;0.33;1.54;1.39;1.08;14.6;75.4;72;1;47.6;0.4675;0.02;0.3
CHL;Chile;2013;0.83;0.841;22056;1.54;1.26;0.36;1.49;1.37;1.11;14.7;78;71;1;47.5;0.466;-0.02;0.1
CHL;Chile;2014;0.834;0.847;22501;1.49;1.16;0.45;1.49;1.43;1.06;15;78;73;1;47.5;0.4595;0.06;0.3
CHL;Chile;2015;0.839;0.853;22949;1.28;1.09;0.43;1.35;1.34;1;15.8;78.4;70;1;47.5;0.453;-0.09;0.8
CHL;Chile;2016;0.843;0.858;23003;1.14;1.01;0.41;1.37;1.13;1;16.1;77.8;66;1;47.6;0.4535;-0.21;0.3
CHL;Chile;2017;0.845;0.863;22685;1.04;0.84;0.42;1.34;1.01;1;16.4;78.4;67;1;47.7;0.454;-0.12;0.3
CHL;Chile;2018;0.847;0.864;23222;1.05;1.08;0.44;1.34;1.09;1.06;16.4;79.7;67;1;47.7;0.454;0.08;0
COL;Colombia;2007;0.713;0.721;10946;-0.22;-0.05;-1.8;0.24;-0.44;-0.17;11.4;64.7;38;3;54.5;0.561;0.07;0.7
COL;Colombia;2008;0.72;0.73;11114;-0.24;-0.03;-1.85;0.26;-0.4;-0.17;11.3;65.4;38;3.5;54.7;0.572;0.04;-0.1
COL;Colombia;2009;0.724;0.737;11160;-0.31;-0.25;-1.83;0.15;-0.39;-0.15;13.3;65.45;37;3.5;54.6;0.557;0.01;2
COL;Colombia;2010;0.729;0.741;11461;-0.39;-0.06;-1.54;0.25;-0.31;-0.13;12.2;65.5;35;3.5;54.2;0.56;0.08;-1.1
COL;Colombia;2011;0.735;0.747;12050;-0.29;0.04;-1.28;0.36;-0.26;-0.06;12.3;66.3;34.5;3.5;53.7;0.549;0.05;0.1
COL;Colombia;2012;0.736;0.746;12469;-0.39;0.02;-1.4;0.4;-0.35;-0.06;12.4;66.3;36;3.5;53.4;0.539;-0.09;0.1
COL;Colombia;2013;0.746;0.757;13032;-0.41;0.07;-1.29;0.4;-0.41;-0.08;12.8;65.5;36;3.5;52.7;0.54;-0.06;0.4
COL;Colombia;2014;0.75;0.76;13564;-0.37;-0.1;-1.11;0.5;-0.29;-0.04;12.9;65.5;37;3.5;52.1;0.54;0.12;0.1
COL;Colombia;2015;0.753;0.763;14038;-0.3;-0.04;-1.07;0.47;-0.27;0;13;66.2;37;3.5;51.7;0.524;0.02;0.1
COL;Colombia;2016;0.759;0.77;14186;-0.32;0.02;-0.88;0.4;-0.28;0.12;12.5;66.7;37;3;51.3;0.521;-0.01;-0.5
COL;Colombia;2017;0.76;0.774;14055;-0.37;-0.07;-0.77;0.34;-0.36;0.11;13.4;66.7;37;3;50.9;0.511;-0.08;0.9
COL;Colombia;2018;0.761;0.775;14085;-0.29;-0.09;-0.79;0.32;-0.41;0.19;12.6;69.6;36;3;50.8;0.52;-0.05;-0.8
CRA;Costa Rica;2007;0.742;0.751;14854;0.52;0.2;0.58;0.42;0.38;0.94;8;80.4;50;1;49.1;0.498;-0.09;0.3
CRA;Costa Rica;2008;0.75;0.76;15447;0.55;0.28;0.36;0.46;0.46;0.97;8.9;80.4;51;1;49.2;0.491;0.08;0.9
CRA;Costa Rica;2009;0.751;0.766;14887;0.75;0.33;0.59;0.42;0.56;1.01;10.1;80.4;53;1;49.1;0.512;0.1;1.2
CRA;Costa Rica;2010;0.754;0.767;15426;0.71;0.31;0.69;0.47;0.52;1.04;11.9;80.4;53;1;48.9;0.492;-0.04;1.8
CRA;Costa Rica;2011;0.768;0.786;15876;0.65;0.34;0.51;0.45;0.45;1.05;11.5;81;48;1;49.1;0.5;-0.07;-0.4
CRA;Costa Rica;2012;0.774;0.791;16481;0.62;0.5;0.64;0.57;0.52;1.09;12;81;54;1;48.7;0.502;0.07;0.5
CRA;Costa Rica;2013;0.777;0.796;16567;0.63;0.48;0.68;0.58;0.55;1.08;12.1;80.3;53;1;48.7;0.508;0.03;0.1
CRA;Costa Rica;2014;0.785;0.807;16863;0.76;0.4;0.58;0.51;0.56;1.14;12.1;80.3;54;1;48.7;0.498;0.01;0
CRA;Costa Rica;2015;0.786;0.806;17238;0.75;0.38;0.68;0.53;0.5;1.15;12.4;79.6;55;1;48.7;0.496;-0.06;0.3
CRA;Costa Rica;2016;0.789;0.809;17783;0.74;0.36;0.66;0.41;0.47;1.12;12.3;78.8;58;1;48.6;0.5;-0.03;-0.1
CRA;Costa Rica;2017;0.792;0.812;18161;0.47;0.25;0.61;0.45;0.45;1.12;12.5;78.8;59;1;48.6;0.496;-0.02;0.2
CRA;Costa Rica;2018;0.794;0.814;18371;0.55;0.38;0.48;0.49;0.48;1.14;12.1;80.7;56;1;48.7;0.493;0.03;-0.4
CUB;Cuba;2007;0.768;0.853;6636;0.31;-0.2;0.45;-1.56;-0.68;-1.85;11.5;35.2;42;7;43;;0.08;0
CUB;Cuba;2008;0.778;0.866;6911;0.27;-0.38;0.52;-1.5;-0.82;-1.8;16.7;35.2;43;6.5;43.2;;-0.14;5.2
CUB;Cuba;2009;0.78;0.868;6953;0.28;-0.36;0.36;-1.6;-0.71;-1.7;20.1;35.2;44;6.5;43.2;;0.11;3.4
CUB;Cuba;2010;0.776;0.86;7151;0.31;-0.36;0.35;-1.67;-0.72;-1.62;19.9;35.2;37;6.5;43.3;;-0.01;-0.2
CUB;Cuba;2011;0.775;0.854;7395;0.27;-0.38;0.28;-1.63;-0.69;-1.61;17.6;35.2;41.6;6.5;43.4;;0.03;-2.3
CUB;Cuba;2012;0.764;0.834;7618;0.24;-0.4;0.31;-1.56;-0.71;-1.51;19.2;35.2;48;6.5;43.4;;-0.02;1.6
CUB;Cuba;2013;0.762;0.827;7823;0.12;-0.44;0.37;-1.58;-0.7;-1.48;11.9;35.2;46;6.5;43.4;;0.01;-7.3
CUB;Cuba;2014;0.764;0.83;7879;0.07;-0.05;0.54;-1.33;-0.66;-1.54;10.9;35.2;46;6.5;43.4;;0.04;-1
CUB;Cuba;2015;0.768;0.832;8218;0.07;0.02;0.64;-1.22;-0.7;-1.56;10.6;35.2;47;6.5;43.4;;-0.04;-0.3
CUB;Cuba;2016;0.771;0.837;8242;0.17;-0.1;0.69;-1.34;-0.44;-1.56;10.1;34.6;47;6.5;43.4;;0.26;-0.5
CUB;Cuba;2017;0.777;0.845;8388;0.27;-0.18;0.65;-1.33;-0.43;-1.55;14.6;33.1;47;6.5;43.4;;0.01;4.5
CUB;Cuba;2018;0.778;0.845;8578;0.17;-0.24;0.66;-1.46;-0.44;-1.44;14.6;30;47;6.5;43.4;;-0.01;0
RDM;Dominican Republic;2007;0.689;0.685;11176;-0.75;-0.67;-0.08;-0.24;-0.61;0.2;6.6;61.65;30;2;49.3;0.495;-0.03;0.2
RDM;Dominican Republic;2008;0.692;0.689;11558;-0.73;-0.62;-0.04;-0.19;-0.66;0.16;7.3;62;30;2;48.7;0.489;-0.05;0.7
RDM;Dominican Republic;2009;0.694;0.692;11520;-0.78;-0.61;0;-0.19;-0.77;0.09;6.7;62;30;2;47.8;0.496;-0.11;-0.6
RDM;Dominican Republic;2010;0.701;0.697;12330;-0.84;-0.64;-0.04;-0.15;-0.81;0.07;6.3;62;30;2;47.2;0.48;-0.04;-0.4
RDM;Dominican Republic;2011;0.704;0.701;12531;-0.81;-0.59;0;-0.2;-0.77;0.09;6.2;62;25.9;2;47.1;0.484;0.04;-0.1
RDM;Dominican Republic;2012;0.708;0.705;12709;-0.86;-0.51;0.25;-0.1;-0.69;0.12;7.3;64.9;32;2;46.2;0.469;0.08;1.1
RDM;Dominican Republic;2013;0.712;0.709;13069;-0.87;-0.47;0.21;-0.07;-0.53;0.12;8.1;67.4;29;2.5;45.7;0.484;0.16;0.8
RDM;Dominican Republic;2014;0.724;0.723;13816;-0.82;-0.44;0.15;-0.04;-0.41;0.19;7.7;66.7;32;2.5;45.3;0.449;0.12;-0.4
RDM;Dominican Republic;2015;0.733;0.731;14697;-0.82;-0.36;0.24;-0.04;-0.51;0.15;8.1;66.7;33;3;45.3;0.457;-0.1;0.4
RDM;Dominican Republic;2016;0.738;0.734;15464;-0.76;-0.26;0.25;-0.07;-0.4;0.18;8;66.7;31;3;44.9;0.435;0.11;-0.1
RDM;Dominican Republic;2017;0.741;0.737;15942;-0.74;-0.37;0.16;-0.08;-0.42;0.16;8.5;66.6;29;3;45.2;0.433;-0.02;0.5
RDM;Dominican Republic;2018;0.745;0.738;16927;-0.76;-0.4;0.03;-0.07;-0.38;0.14;8;65.4;30;3;45.3;0.441;0.04;-0.5
ECU;Ecuador;2007;0.706;0.725;9427;-0.77;-0.87;-0.81;-1.14;-1.04;-0.16;5.4;56.4;21;3;51.4;0.534;-0.01;1.1
ECU;Ecuador;2008;0.711;0.727;10015;-0.69;-0.86;-0.73;-1.14;-1.17;-0.22;6.5;56.4;20;3;50.5;0.496;-0.13;1.1
ECU;Ecuador;2009;0.712;0.73;9945;-0.8;-0.79;-0.67;-1.3;-1.25;-0.25;8.1;57.05;22;3;49.2;0.485;-0.08;1.6
ECU;Ecuador;2010;0.716;0.734;10187;-0.77;-0.72;-0.59;-1.17;-1.2;-0.23;8.1;57.7;25;3;47.8;0.49;0.05;0
ECU;Ecuador;2011;0.742;0.769;10808;-0.71;-0.58;-0.69;-1.03;-1.21;-0.29;8.1;57.2;26.5;3;47.2;0.458;-0.01;0
ECU;Ecuador;2012;0.74;0.763;11263;-0.58;-0.5;-0.57;-1.02;-1.13;-0.3;8.2;57.8;32;3;46.5;0.468;0.08;0.1
ECU;Ecuador;2013;0.751;0.777;11647;-0.57;-0.5;-0.18;-0.93;-0.97;-0.25;9.2;58.7;35;3;46;0.47;0.16;1
ECU;Ecuador;2014;0.75;0.773;11892;-0.75;-0.47;-0.02;-1.01;-1.06;-0.2;8.5;58.7;33;3;45.8;0.449;-0.09;-0.7
ECU;Ecuador;2015;0.758;0.787;11693;-0.67;-0.44;-0.14;-1.16;-1.03;-0.21;8.4;58.7;32;3;45.6;0.462;0.03;-0.1
ECU;Ecuador;2016;0.756;0.787;11346;-0.68;-0.43;-0.09;-1.02;-0.76;-0.25;8.8;58.1;31;3.5;45.2;0.45;0.27;0.4
ECU;Ecuador;2017;0.757;0.789;11360;-0.6;-0.32;-0.07;-1;-0.7;-0.17;9.2;60.2;32;3;45.2;0.444;0.06;0.4
ECU;Ecuador;2018;0.758;0.79;11256;-0.57;-0.26;-0.08;-0.87;-0.64;0.02;9;62.7;34;3;45;0.454;0.06;-0.2
SLV;El Salvador;2007;0.644;0.657;7041;-0.37;-0.2;-0.01;0.19;-0.65;0.09;8.3;63.1;40;2.5;46.4;0.47;-0.03;-0.8
SLV;El Salvador;2008;0.647;0.66;7239;-0.36;-0.16;0.04;0.21;-0.67;0.11;8.3;64;39;2.5;45.4;0.474;-0.02;0
SLV;El Salvador;2009;0.647;0.663;6985;-0.25;-0.04;-0.01;0.32;-0.75;0.06;9.2;64.35;34;2.5;44.8;0.478;-0.08;0.9
SLV;El Salvador;2010;0.659;0.68;7123;-0.28;0.01;0.06;0.36;-0.81;0.07;9.3;64.7;36;2.5;44.1;0.454;-0.06;0.1
SLV;El Salvador;2011;0.656;0.672;7355;-0.26;-0.1;0.11;0.47;-0.72;0.04;9.6;64.7;34.2;2.5;43.4;0.446;0.09;0.3
SLV;El Salvador;2012;0.66;0.677;7447;-0.41;-0.13;0.23;0.33;-0.7;-0.04;9.7;64.7;38;2.5;42.5;0.438;0.02;0.1
SLV;El Salvador;2013;0.662;0.678;7541;-0.35;-0.12;-0.03;0.31;-0.62;-0.01;10.3;65.3;38;2.5;41.9;0.453;0.08;0.6
SLV;El Salvador;2014;0.66;0.675;7635;-0.38;-0.03;-0.02;0.32;-0.48;0.15;9.9;65.3;39;2.5;41.5;0.434;0.14;-0.4
SLV;El Salvador;2015;0.66;0.673;7765;-0.42;-0.24;-0.02;0.2;-0.59;0.15;10;66.4;39;2.5;41.1;0.426;-0.11;0.1
SLV;El Salvador;2016;0.662;0.676;7879;-0.52;-0.29;-0.1;0.09;-0.71;0.19;9.9;66.4;36;2.5;40.4;0.42;-0.12;-0.1
SLV;El Salvador;2017;0.665;0.678;7984;-0.51;-0.36;-0.26;-0.15;-0.86;0.15;10;64.3;33;2.5;40.1;0.399;-0.15;0.1
SLV;El Salvador;2018;0.667;0.68;8141;-0.6;-0.45;-0.38;0.04;-0.83;0.04;9;59.6;35;2.5;40;0.405;0.03;-1
GUA;Guatemala;2007;0.588;0.568;7093;-0.74;-0.55;-0.75;-0.23;-1.12;-0.17;7.2;60.7;28;3.5;53.6;;-0.03;-0.6
GUA;Guatemala;2008;0.594;0.575;7211;-0.65;-0.56;-0.71;-0.18;-1.11;-0.2;7;60.7;31;3.5;53;;0.01;-0.2
GUA;Guatemala;2009;0.597;0.581;7081;-0.53;-0.71;-0.93;-0.15;-1.02;-0.25;8.1;60.6;34;4;52.2;;0.09;1.1
GUA;Guatemala;2010;0.602;0.588;7143;-0.53;-0.7;-0.85;-0.15;-0.96;-0.3;8;60.5;32;4;51.4;;0.06;-0.1
GUA;Guatemala;2011;0.607;0.595;7267;-0.53;-0.7;-0.74;-0.13;-1.04;-0.31;7.5;58.8;27.3;3.5;50.7;;-0.08;-0.5
GUA;Guatemala;2012;0.613;0.601;7423;-0.66;-0.76;-0.63;-0.17;-1.08;-0.36;7.6;58.8;33;3.5;49.9;;-0.04;0.1
GUA;Guatemala;2013;0.616;0.605;7557;-0.62;-0.7;-0.67;-0.2;-1.08;-0.37;7.6;58.1;29;3.5;49.2;;0;0
GUA;Guatemala;2014;0.643;0.644;7735;-0.74;-0.73;-0.66;-0.19;-0.96;-0.34;7.5;58.1;32;3.5;48.8;;0.12;-0.1
GUA;Guatemala;2015;0.647;0.648;7932;-0.73;-0.71;-0.66;-0.22;-0.95;-0.35;7.1;59.2;28;4;48.5;;0.01;-0.4
GUA;Guatemala;2016;0.648;0.649;8029;-0.74;-0.61;-0.54;-0.2;-1.02;-0.29;6.9;59.2;28;4;48.3;;-0.07;-0.2
GUA;Guatemala;2017;0.649;0.65;8143;-0.74;-0.64;-0.65;-0.26;-1.06;-0.28;6.9;58.6;28;4;48.3;;-0.04;0
GUA;Guatemala;2018;0.651;0.652;8274;-0.82;-0.68;-0.53;-0.19;-1.04;-0.34;7;56;27;4;48.3;;0.02;0.1
HND;Honduras;2007;0.595;0.619;4754;-0.79;-0.55;-0.44;-0.29;-0.93;-0.19;10.5;62.15;25;3;55.9;0.502;0.06;1.2
HND;Honduras;2008;0.591;0.612;4829;-0.9;-0.62;-0.53;-0.31;-0.96;-0.29;10.5;61.8;26;3;54.6;0.502;-0.03;0
HND;Honduras;2009;0.593;0.619;4583;-0.9;-0.68;-0.31;-0.3;-0.9;-0.53;11.2;59.7;25;4;54.4;0.502;0.06;0.7
HND;Honduras;2010;0.598;0.625;4611;-0.89;-0.64;-0.5;-0.22;-0.88;-0.5;11.7;57.6;24;4;54.4;0.519;0.02;0.5
HND;Honduras;2011;0.601;0.629;4687;-0.83;-0.54;-0.39;-0.13;-0.9;-0.47;10.8;58.4;25.9;4;53.9;0.551;-0.02;-0.9
HND;Honduras;2012;0.6;0.626;4731;-0.95;-0.7;-0.35;-0.19;-1.14;-0.47;10.9;58.4;28;4;53.7;0.552;-0.24;0.1
HND;Honduras;2013;0.603;0.631;4763;-0.95;-0.73;-0.44;-0.19;-1.16;-0.47;10.9;58.4;26;4;53;0.515;-0.02;0
HND;Honduras;2014;0.606;0.636;4776;-0.79;-0.81;-0.53;-0.4;-0.94;-0.41;9.6;58.4;29;4;51.7;0.481;0.22;-1.3
HND;Honduras;2015;0.613;0.643;4925;-0.57;-0.82;-0.47;-0.4;-0.93;-0.42;8.7;58.4;31;4;50.5;0.469;0.01;-0.9
HND;Honduras;2016;0.618;0.649;5021;-0.66;-0.73;-0.43;-0.51;-1.12;-0.44;8.9;59.2;30;4;50;0.48;-0.19;0.2
HND;Honduras;2017;0.621;0.652;5222;-0.72;-0.51;-0.56;-0.44;-1.05;-0.44;8.5;57.2;29;4;50;0.4805;0.07;-0.4
HND;Honduras;2018;0.623;0.653;5241;-0.62;-0.62;-0.52;-0.44;-1.03;-0.51;8;56.3;29;4;50.1;0.481;0.02;-0.5
MEX;Mexico;2007;0.738;0.722;18172;-0.27;0.17;-0.73;0.39;-0.49;0.12;8.5;67.25;35;2.5;47.9;0.513;-0.06;0.8
MEX;Mexico;2008;0.74;0.725;18159;-0.24;0.19;-0.8;0.34;-0.67;0.13;8.6;67.8;36;2.5;47.3;0.513;-0.18;0.1
MEX;Mexico;2009;0.739;0.729;16900;-0.3;0.18;-0.69;0.22;-0.56;0.2;9.4;68.55;33;2.5;46.9;0.5115;0.11;0.8
MEX;Mexico;2010;0.739;0.726;17601;-0.36;0.16;-0.73;0.25;-0.55;0.18;9.6;69.3;31;3;46.8;0.51;0.01;0.2
MEX;Mexico;2011;0.746;0.735;17918;-0.4;0.31;-0.67;0.28;-0.55;0.12;9.6;69.3;29.7;3;46.8;0.5045;0;0
MEX;Mexico;2012;0.752;0.742;18259;-0.41;0.34;-0.66;0.48;-0.53;0.11;9.6;69;34;3;46.9;0.499;0.02;0
MEX;Mexico;2013;0.75;0.74;18087;-0.51;0.35;-0.71;0.47;-0.54;0.11;10;69.1;34;3;46.9;0.5005;-0.01;0.4
MEX;Mexico;2014;0.754;0.744;18468;-0.76;0.2;-0.85;0.43;-0.42;0;10.1;66.8;35;3;46.8;0.502;0.12;0.1
MEX;Mexico;2015;0.759;0.75;18817;-0.77;0.21;-0.8;0.36;-0.45;-0.08;10.5;65.5;31;3;46.5;0.503;-0.03;0.4
MEX;Mexico;2016;0.764;0.757;19101;-0.72;0.13;-0.63;0.29;-0.56;-0.07;9.9;64.7;30;3;46.3;0.504;-0.11;-0.6
MEX;Mexico;2017;0.765;0.757;19300;-0.93;-0.03;-0.72;0.2;-0.57;-0.08;8.8;64.1;29;3;46;0.4895;-0.01;-1.1
MEX;Mexico;2018;0.767;0.761;19476;-0.85;-0.15;-0.57;0.16;-0.64;0.01;8.7;61.9;28;3;45.9;0.475;-0.07;-0.1
NIC;Nicaragua;2007;0.602;0.629;34926;-0.77;-0.94;-0.12;-0.45;-0.79;-0.22;9;58.75;26;3;44.3;;-0.04;0.3
NIC;Nicaragua;2008;0.607;0.636;34259;-0.76;-0.91;-0.22;-0.41;-0.8;-0.37;9.2;60.7;25;3.5;44.2;;-0.01;0.2
NIC;Nicaragua;2009;0.608;0.642;34964;-0.72;-0.96;-0.31;-0.43;-0.79;-0.44;9.8;59;25;4;44.3;;0.01;0.6
NIC;Nicaragua;2010;0.614;0.648;34780;-0.75;-0.96;-0.5;-0.28;-0.83;-0.48;9.3;57.3;25;4;44.5;;-0.04;-0.5
NIC;Nicaragua;2011;0.619;0.652;35477;-0.73;-0.9;-0.27;-0.34;-0.72;-0.58;9.1;55.6;25.3;4.5;44.8;;0.11;-0.2
NIC;Nicaragua;2012;0.625;0.657;36227;-0.77;-0.89;-0.35;-0.3;-0.73;-0.54;9.5;55.6;29;4.5;45.3;;-0.01;0.4
NIC;Nicaragua;2013;0.63;0.662;36937;-0.74;-0.82;-0.25;-0.29;-0.67;-0.46;9.7;54.6;28;3.5;45.6;;0.06;0.2
NIC;Nicaragua;2014;0.64;0.674;37668;-0.89;-0.84;-0.04;-0.39;-0.71;-0.4;10.2;53.2;28;3.5;45.9;;-0.04;0.5
NIC;Nicaragua;2015;0.644;0.677;38587;-0.89;-0.82;-0.09;-0.39;-0.74;-0.41;10.6;52.6;27;3.5;46.1;;-0.03;0.4
NIC;Nicaragua;2016;0.649;0.683;39202;-0.87;-0.69;-0.09;-0.51;-0.64;-0.68;10.6;48.1;26;4.5;46.2;;0.1;0
NIC;Nicaragua;2017;0.653;0.686;39332;-0.87;-0.63;-0.05;-0.67;-0.64;-0.72;10.7;46.6;26;4.5;46.2;;0;0.1
NIC;Nicaragua;2018;0.651;0.687;40559;-1.09;-0.8;-0.94;-0.71;-1.06;-1.08;11.1;36.3;25;5.5;46.2;;-0.42;0.4
PAN;Panama;2007;0.751;0.758;4746;-0.3;0.14;-0.06;0.37;-0.15;0.62;8.1;73.5;32;1.5;53.3;0.539;-0.02;-0.1
PAN;Panama;2008;0.755;0.759;4911;-0.09;0.12;-0.1;0.62;-0.17;0.6;8.4;73.5;34;1.5;52.9;0.528;-0.02;0.3
PAN;Panama;2009;0.756;0.761;5068;-0.3;0.14;0.06;0.37;-0.09;0.59;9.2;72.5;34;1.5;52.2;0.53;0.08;0.8
