		1996	1996	1996	1996	1996	1996	1998	1998	1998	1998	1998	1998	2000	2000	2000	2000	2000	2000	2002	2002	2002	2002	2002	2002	2003	2003	2003	2003	2003	2003	2004	2004	2004	2004	2004	2004	2005	2005	2005	2005	2005	2005	2006	2006	2006	2006	2006	2006	2007	2007	2007	2007	2007	2007	2008	2008	2008	2008	2008	2008	2009	2009	2009	2009	2009	2009	2010	2010	2010	2010	2010	2010	2011	2011	2011	2011	2011	2011	2012	2012	2012	2012	2012	2012	2013	2013	2013	2013	2013	2013	2014	2014	2014	2014	2014	2014	2015	2015	2015	2015	2015	2015	2016	2016	2016	2016	2016	2016	2017	2017	2017	2017	2017	2017	2018	2018	2018	2018	2018	2018	2019	2019	2019	2019	2019	2019
Country/Territory	Code	Estimate	StdErr	NumSrc	Rank	Lower	Upper	Estimate	StdErr	NumSrc	Rank	Lower	Upper	Estimate	StdErr	NumSrc	Rank	Lower	Upper	Estimate	StdErr	NumSrc	Rank	Lower	Upper	Estimate	StdErr	NumSrc	Rank	Lower	Upper	Estimate	StdErr	NumSrc	Rank	Lower	Upper	Estimate	StdErr	NumSrc	Rank	Lower	Upper	Estimate	StdErr	NumSrc	Rank	Lower	Upper	Estimate	StdErr	NumSrc	Rank	Lower	Upper	Estimate	StdErr	NumSrc	Rank	Lower	Upper	Estimate	StdErr	NumSrc	Rank	Lower	Upper	Estimate	StdErr	NumSrc	Rank	Lower	Upper	Estimate	StdErr	NumSrc	Rank	Lower	Upper	Estimate	StdErr	NumSrc	Rank	Lower	Upper	Estimate	StdErr	NumSrc	Rank	Lower	Upper	Estimate	StdErr	NumSrc	Rank	Lower	Upper	Estimate	StdErr	NumSrc	Rank	Lower	Upper	Estimate	StdErr	NumSrc	Rank	Lower	Upper	Estimate	StdErr	NumSrc	Rank	Lower	Upper	Estimate	StdErr	NumSrc	Rank	Lower	Upper	Estimate	StdErr	NumSrc	Rank	Lower	Upper
Argentina	ARG	-0.10	0.21	6.00	53.76	38.71	62.90	-0.11	0.18	7.00	52.06	42.27	61.86	-0.19	0.19	7.00	50.25	35.53	61.42	-0.47	0.17	8.00	39.39	27.27	52.02	-0.48	0.17	9.00	38.38	26.77	50.51	-0.42	0.15	11.00	40.00	27.80	51.22	-0.39	0.15	11.00	43.41	30.73	52.68	-0.34	0.14	14.00	42.93	34.63	54.63	-0.34	0.15	14.00	45.15	33.50	54.85	-0.44	0.15	14.00	39.32	28.64	52.43	-0.44	0.15	16.00	39.71	26.79	52.63	-0.36	0.15	16.00	43.33	31.90	54.29	-0.37	0.14	17.00	44.08	32.70	54.03	-0.44	0.13	17.00	39.34	28.91	51.18	-0.43	0.13	16.00	40.28	29.38	51.66	-0.54	0.13	15.00	35.10	24.52	46.63	-0.55	0.13	15.00	33.65	24.04	46.63	-0.28	0.13	15.00	47.12	35.10	55.29	-0.26	0.12	15.00	47.60	40.87	54.81	-0.07	0.12	15.00	55.29	45.67	59.62	-0.07	0.13	15.00	53.37	45.19	60.58
Armenia	ARM	-0.47	0.34	2.00	38.17	15.05	59.14	-0.86	0.22	5.00	22.68	6.70	36.08	-0.76	0.22	6.00	27.41	10.15	39.09	-0.75	0.21	6.00	27.78	10.61	42.42	-0.57	0.19	7.00	34.85	19.70	47.98	-0.61	0.18	8.00	30.24	19.02	45.85	-0.67	0.16	9.00	29.27	17.56	42.44	-0.67	0.15	13.00	29.76	19.02	39.02	-0.74	0.15	13.00	25.73	17.96	36.89	-0.71	0.14	14.00	27.67	17.96	37.86	-0.62	0.14	14.00	29.67	20.10	42.11	-0.70	0.14	14.00	26.67	18.10	38.10	-0.66	0.14	14.00	28.91	19.91	40.28	-0.59	0.13	15.00	33.65	22.75	43.13	-0.53	0.14	14.00	36.02	22.75	45.97	-0.52	0.14	14.00	36.06	25.96	48.56	-0.53	0.14	14.00	35.10	24.04	46.63	-0.57	0.14	12.00	32.69	21.63	43.75	-0.56	0.13	12.00	32.69	22.60	44.23	-0.35	0.14	12.00	42.79	31.25	51.92	-0.18	0.15	11.00	50.00	37.50	59.13
American Samoa	ASM	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	0.81	0.40	1.00	77.56	60.00	91.71	0.80	0.34	1.00	77.56	61.95	89.27	0.31	0.42	1.00	65.37	40.49	80.00	0.31	0.42	1.00	66.50	42.23	79.13	0.33	0.40	1.00	66.02	44.17	80.58	0.35	0.43	1.00	68.42	43.06	81.34	0.33	0.43	1.00	67.14	42.38	81.90	0.32	0.42	1.00	66.82	43.60	79.62	0.31	0.43	1.00	65.88	42.65	81.04	0.31	0.44	1.00	65.40	41.23	81.04	1.23	0.42	1.00	87.02	69.23	95.19	1.22	0.42	1.00	87.02	68.27	95.19	1.23	0.42	1.00	87.50	68.75	94.71	1.84	0.40	1.00	93.75	83.65	100.00	1.85	0.40	1.00	94.71	84.13	100.00	1.84	0.41	1.00	94.71	83.65	100.00
Antigua and Barbuda	ATG	0.87	0.48	1.00	80.11	59.14	91.40	0.92	0.46	1.00	81.96	61.34	92.27	0.90	0.47	1.00	82.23	61.42	92.39	0.88	0.44	1.00	80.81	61.11	91.41	0.89	0.40	1.00	80.30	62.12	91.41	0.86	0.37	2.00	79.51	61.46	91.71	0.75	0.33	2.00	74.63	60.49	88.29	1.13	0.39	2.00	84.39	71.22	92.20	1.15	0.39	2.00	84.95	71.36	93.20	1.29	0.40	1.00	87.86	73.79	94.66	1.33	0.43	1.00	88.04	72.73	95.22	1.31	0.43	1.00	88.10	72.38	94.76	1.28	0.42	1.00	88.15	72.04	94.79	1.27	0.43	1.00	87.20	71.56	95.26	1.26	0.44	1.00	86.73	70.14	95.73	0.64	0.42	1.00	74.04	55.29	88.94	0.69	0.27	2.00	75.48	63.46	83.17	0.69	0.27	2.00	74.52	64.42	82.21	0.24	0.27	2.00	62.98	49.04	74.04	0.28	0.26	2.00	63.46	50.48	76.44	0.28	0.26	2.00	63.46	50.48	75.48
Australia	AUS	1.88	0.21	6.00	93.55	90.32	99.46	1.85	0.19	6.00	92.78	90.72	97.42	1.92	0.20	6.00	93.91	91.88	97.97	1.81	0.16	7.00	92.42	90.91	95.45	1.95	0.17	7.00	93.94	91.41	97.47	2.03	0.16	7.00	96.59	91.71	98.05	1.95	0.15	7.00	95.61	92.68	98.05	1.96	0.16	8.00	95.12	91.71	98.54	2.01	0.17	8.00	95.63	91.75	98.54	2.04	0.17	8.00	96.12	93.20	98.54	2.05	0.15	9.00	96.17	93.78	99.04	2.03	0.15	10.00	95.24	93.33	98.57	2.04	0.15	11.00	96.21	93.36	99.53	1.99	0.14	11.00	95.73	93.36	97.63	1.79	0.14	11.00	93.84	91.00	95.73	1.85	0.13	11.00	95.19	92.31	95.67	1.88	0.13	11.00	94.23	92.79	97.12	1.82	0.14	11.00	93.27	92.31	96.63	1.80	0.13	11.00	92.79	91.83	96.63	1.81	0.14	11.00	92.79	90.87	96.63	1.81	0.15	10.00	94.23	91.35	96.63
Austria	AUT	1.73	0.21	6.00	92.47	89.25	96.24	1.85	0.19	6.00	93.30	90.72	97.42	1.81	0.20	6.00	92.89	90.36	95.94	1.97	0.18	6.00	93.94	91.41	97.98	2.02	0.19	6.00	94.95	91.92	98.48	2.05	0.17	7.00	97.07	91.71	98.54	1.92	0.17	7.00	95.12	92.20	98.05	1.91	0.18	8.00	94.63	91.71	98.54	2.01	0.19	8.00	96.12	91.75	98.54	1.84	0.18	8.00	93.69	91.75	97.09	1.70	0.17	9.00	92.82	89.95	94.74	1.59	0.17	9.00	91.90	86.19	93.81	1.43	0.16	10.00	89.57	83.89	92.42	1.39	0.15	10.00	89.10	83.41	91.94	1.55	0.15	10.00	91.00	87.20	93.84	1.47	0.14	9.00	90.38	87.02	92.79	1.52	0.14	9.00	90.87	87.50	92.79	1.55	0.15	9.00	91.35	89.42	92.79	1.53	0.14	9.00	90.87	88.46	92.31	1.60	0.15	9.00	91.35	88.46	93.75	1.55	0.16	9.00	90.87	88.46	93.75
Azerbaijan	AZE	-1.45	0.28	3.00	2.69	0.00	17.20	-1.30	0.19	6.00	4.12	0.52	15.46	-1.30	0.18	8.00	4.57	0.00	15.23	-1.18	0.17	8.00	7.07	0.00	21.21	-1.01	0.17	9.00	12.63	5.56	26.77	-1.16	0.16	10.00	10.73	3.41	19.51	-1.04	0.14	11.00	15.12	7.80	22.44	-1.09	0.15	13.00	12.68	5.37	20.00	-1.12	0.15	13.00	10.68	3.88	19.42	-1.15	0.14	13.00	11.17	3.88	17.96	-1.19	0.14	14.00	9.57	1.91	18.18	-1.24	0.13	14.00	6.67	1.90	16.19	-1.18	0.13	14.00	9.48	2.84	17.54	-1.13	0.13	14.00	11.85	3.32	18.96	-0.97	0.14	13.00	16.59	9.95	25.12	-1.02	0.14	12.00	14.42	8.65	23.08	-0.93	0.14	12.00	16.83	10.58	26.44	-0.84	0.14	12.00	19.23	12.50	32.21	-0.89	0.13	12.00	17.79	12.02	26.44	-0.83	0.14	11.00	21.63	12.98	29.81	-0.87	0.15	11.00	19.71	12.50	28.85
Burundi	BDI	-0.68	0.34	2.00	30.65	6.99	52.69	-0.78	0.28	4.00	27.84	6.70	44.85	-0.80	0.27	4.00	26.40	5.58	43.65	-0.82	0.28	4.00	25.25	3.54	43.94	-0.90	0.24	5.00	18.69	5.56	35.35	-0.89	0.21	6.00	20.49	8.78	34.63	-0.93	0.21	6.00	18.05	7.80	34.63	-1.10	0.18	9.00	12.20	3.90	21.95	-1.16	0.18	10.00	9.22	2.91	19.42	-1.09	0.17	10.00	13.11	3.88	21.84	-1.13	0.18	10.00	11.48	1.91	21.05	-1.17	0.18	10.00	10.95	1.90	20.00	-1.19	0.17	11.00	8.53	1.42	18.96	-1.45	0.17	12.00	1.42	0.00	10.43	-1.41	0.17	13.00	2.37	0.00	10.90	-1.26	0.17	12.00	8.65	2.88	14.90	-1.26	0.17	12.00	9.13	1.92	14.42	-1.25	0.17	12.00	10.10	3.85	13.46	-1.28	0.17	11.00	9.13	2.88	14.42	-1.45	0.16	10.00	5.29	0.48	10.58	-1.46	0.17	10.00	4.81	0.00	11.06
Belgium	BEL	1.36	0.21	6.00	88.71	81.18	91.40	1.36	0.19	6.00	87.11	82.47	92.27	1.50	0.20	6.00	90.86	84.77	92.89	1.50	0.18	6.00	90.40	84.34	91.92	1.42	0.19	6.00	89.90	82.83	91.92	1.38	0.18	6.00	90.24	83.90	91.71	1.39	0.17	6.00	90.24	82.93	92.68	1.31	0.18	7.00	88.78	80.00	91.71	1.36	0.19	7.00	89.81	82.04	91.75	1.37	0.19	7.00	90.29	82.04	91.75	1.46	0.17	8.00	90.91	84.21	92.82	1.53	0.18	8.00	90.95	85.24	93.33	1.58	0.16	9.00	91.94	88.15	93.84	1.61	0.15	10.00	91.47	88.63	94.31	1.67	0.15	10.00	92.89	89.57	95.73	1.57	0.14	10.00	91.35	88.94	93.27	1.57	0.14	10.00	91.83	89.42	92.79	1.64	0.15	10.00	92.79	89.90	93.75	1.50	0.13	10.00	89.90	87.50	92.31	1.51	0.14	10.00	90.38	87.50	92.31	1.55	0.16	8.00	91.35	88.46	94.23
Benin	BEN	-0.55	0.34	2.00	34.95	13.44	57.53	-0.54	0.28	4.00	35.05	15.46	53.61	-0.47	0.27	4.00	36.55	18.78	57.36	-0.73	0.28	4.00	29.29	6.06	47.47	-0.48	0.24	5.00	38.89	20.20	55.56	-0.46	0.21	6.00	37.56	22.93	53.66	-0.85	0.19	8.00	20.49	11.71	36.10	-0.59	0.15	12.00	33.66	20.00	42.93	-0.46	0.16	12.00	37.38	27.18	51.46	-0.50	0.15	12.00	36.89	24.76	49.51	-0.62	0.16	11.00	30.14	20.10	43.06	-0.66	0.16	11.00	30.00	18.10	41.90	-0.59	0.16	11.00	33.18	20.38	46.45	-0.86	0.17	11.00	20.85	11.37	33.65	-0.74	0.17	12.00	24.64	15.17	39.81	-0.67	0.18	11.00	29.81	15.38	43.75	-0.55	0.16	13.00	33.17	20.67	48.08	-0.51	0.17	13.00	34.13	22.12	49.52	-0.56	0.16	13.00	33.65	19.71	45.19	-0.39	0.15	13.00	41.35	27.88	51.92	-0.32	0.16	13.00	42.79	30.29	53.37
Burkina Faso	BFA	0.11	0.32	3.00	60.22	41.40	73.12	-0.10	0.27	5.00	52.58	34.54	65.98	-0.07	0.27	5.00	57.36	35.53	66.50	0.01	0.26	5.00	59.09	41.41	71.21	-0.01	0.23	6.00	58.59	42.42	69.19	-0.14	0.20	8.00	53.17	37.07	60.49	-0.13	0.20	8.00	53.66	41.46	60.00	-0.31	0.15	12.00	43.90	34.63	56.10	-0.33	0.16	12.00	46.60	33.50	55.34	-0.30	0.15	13.00	47.09	34.95	55.83	-0.34	0.15	13.00	44.98	31.58	55.98	-0.35	0.15	13.00	43.81	31.90	55.24	-0.37	0.15	14.00	43.60	31.28	54.50	-0.48	0.14	15.00	37.91	27.96	49.76	-0.52	0.13	15.00	36.49	24.64	46.45	-0.46	0.13	14.00	38.46	28.85	50.00	-0.28	0.14	14.00	48.56	36.54	55.77	-0.15	0.14	14.00	52.88	42.79	59.13	-0.11	0.13	14.00	53.37	44.71	59.13	-0.11	0.13	14.00	53.37	43.75	59.62	-0.19	0.14	15.00	49.52	37.98	58.17
Bangladesh	BGD	-0.97	0.26	4.00	17.74	2.69	34.95	-0.72	0.22	5.00	30.93	12.89	43.81	-1.11	0.20	7.00	10.66	2.54	26.40	-1.36	0.18	7.00	2.02	0.00	11.11	-1.44	0.18	8.00	2.02	0.00	9.09	-1.50	0.17	10.00	1.46	0.00	9.27	-1.39	0.17	10.00	3.41	0.00	13.17	-1.43	0.16	12.00	3.41	0.00	9.27	-1.06	0.16	13.00	13.59	5.34	21.36	-1.03	0.16	13.00	15.05	4.37	23.79	-1.07	0.16	13.00	13.88	3.83	22.97	-1.06	0.16	14.00	14.76	3.81	21.90	-1.09	0.15	15.00	14.22	4.27	20.38	-0.85	0.14	15.00	21.33	12.32	31.28	-0.89	0.14	14.00	20.85	11.85	28.91	-0.89	0.14	13.00	19.23	12.50	29.81	-0.81	0.14	13.00	22.12	13.46	31.73	-0.86	0.14	12.00	18.75	12.02	31.73	-0.83	0.13	12.00	19.23	13.46	29.81	-0.91	0.13	12.00	16.83	11.54	26.92	-0.99	0.14	12.00	16.35	10.58	25.00
Bulgaria	BGR	-0.36	0.26	4.00	44.62	25.27	59.14	-0.17	0.19	6.00	50.52	36.60	61.34	-0.13	0.18	8.00	53.81	39.09	61.42	-0.15	0.16	8.00	53.03	41.92	60.61	-0.03	0.16	9.00	58.08	46.46	62.12	0.11	0.15	10.00	58.05	52.68	65.85	0.06	0.14	10.00	58.05	52.20	63.90	-0.07	0.13	14.00	56.10	46.34	60.00	-0.18	0.13	14.00	52.43	39.81	57.77	-0.25	0.13	14.00	49.51	37.86	55.83	-0.21	0.13	14.00	52.63	40.19	59.33	-0.19	0.13	14.00	53.33	41.90	58.10	-0.22	0.13	15.00	51.66	40.28	57.35	-0.23	0.12	15.00	51.18	41.23	58.29	-0.27	0.12	14.00	48.82	39.81	56.87	-0.25	0.12	14.00	50.48	38.94	55.29	-0.26	0.12	14.00	49.52	38.94	55.77	-0.17	0.13	13.00	50.96	42.79	59.13	-0.16	0.12	13.00	50.96	44.23	58.17	-0.15	0.13	13.00	50.96	42.31	59.62	-0.16	0.14	12.00	50.48	41.35	59.13
Bahrain	BHR	0.33	0.31	3.00	63.98	50.54	77.42	0.27	0.27	3.00	63.92	50.52	76.80	0.38	0.29	3.00	68.02	54.82	79.19	0.82	0.21	4.00	79.29	71.72	84.34	0.40	0.23	5.00	70.71	58.59	76.77	0.45	0.20	6.00	70.24	58.05	75.61	0.39	0.19	6.00	66.34	58.05	73.17	0.19	0.21	6.00	61.46	53.17	71.71	0.18	0.21	6.00	60.68	52.91	72.33	0.19	0.21	6.00	62.14	53.40	72.82	0.19	0.19	8.00	63.64	55.50	71.29	0.18	0.18	8.00	63.33	54.29	71.43	0.22	0.18	8.00	63.98	55.92	70.62	0.37	0.17	8.00	67.77	60.66	72.51	0.43	0.18	8.00	68.72	62.56	73.93	0.28	0.17	7.00	63.94	57.69	70.19	0.14	0.17	6.00	61.06	53.37	66.83	-0.02	0.18	6.00	57.69	45.67	64.90	-0.14	0.16	5.00	51.92	42.31	59.62	-0.15	0.18	5.00	51.44	39.42	60.10	-0.01	0.19	6.00	56.73	44.23	63.46
