Argentina	ARG	0.11	0.37	4.00	51.06	28.72	71.28	-0.13	0.35	4.00	39.36	22.87	62.77	0.10	0.31	5.00	50.79	31.75	69.84	-0.78	0.29	6.00	22.22	14.29	32.80	-0.36	0.28	6.00	35.18	23.12	47.24	-0.61	0.28	7.00	26.21	16.02	39.81	-0.04	0.27	7.00	44.17	31.55	57.77	0.00	0.25	8.00	45.89	31.40	57.97	0.10	0.24	8.00	46.86	34.78	61.84	-0.09	0.24	8.00	40.87	29.33	55.29	-0.23	0.24	8.00	36.97	24.64	50.71	-0.08	0.24	8.00	42.65	28.91	54.50	0.16	0.24	9.00	52.13	39.34	63.51	0.10	0.22	9.00	49.29	37.91	61.61	0.07	0.23	9.00	48.34	36.49	61.14	-0.01	0.19	9.00	45.71	34.76	58.10	0.01	0.20	9.00	46.19	34.76	57.62	0.20	0.20	9.00	52.86	40.48	64.29	0.17	0.21	9.00	53.33	39.05	63.81	0.02	0.21	9.00	47.62	35.24	58.57	-0.12	0.23	8.00	43.33	27.62	55.71
Armenia	ARM	-0.36	0.48	2.00	34.04	13.30	60.11	-0.66	0.38	3.00	25.00	11.17	43.62	-0.68	0.40	3.00	25.93	11.11	42.86	-0.26	0.39	3.00	37.57	20.11	60.32	0.24	0.33	3.00	51.76	36.18	71.86	-0.12	0.32	4.00	40.78	25.24	60.19	-0.07	0.30	5.00	42.72	28.64	58.74	-0.26	0.27	6.00	37.68	25.12	51.69	0.15	0.26	6.00	47.83	34.78	66.18	-0.01	0.26	6.00	44.23	29.81	58.17	0.23	0.27	6.00	52.61	37.91	69.19	0.07	0.26	6.00	49.76	33.18	62.56	-0.06	0.25	6.00	44.08	30.33	58.77	0.15	0.23	7.00	51.18	39.34	63.03	0.11	0.23	7.00	50.24	36.49	63.03	-0.30	0.20	7.00	35.71	24.29	47.14	-0.25	0.21	7.00	37.14	25.71	50.00	-0.66	0.21	7.00	22.38	13.81	33.33	-0.62	0.22	7.00	25.24	13.81	36.19	-0.44	0.22	7.00	29.52	18.57	43.81	-0.51	0.24	6.00	27.62	15.71	43.33
American Samoa	ASM	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	0.74	0.43	1.00	72.33	46.60	98.06	0.75	0.45	1.00	68.45	46.60	99.51	0.70	0.43	1.00	68.12	45.89	99.03	0.97	0.38	1.00	80.19	54.59	100.00	0.98	0.38	1.00	80.77	55.29	100.00	0.95	0.37	1.00	82.46	54.03	100.00	0.92	0.39	1.00	80.09	54.03	99.53	0.93	0.41	1.00	74.41	54.98	99.53	0.95	0.34	1.00	78.67	58.77	99.53	0.93	0.39	1.00	76.78	57.35	99.53	1.08	0.29	1.00	89.05	66.19	99.52	1.18	0.31	1.00	91.90	66.67	99.52	1.19	0.32	1.00	92.38	68.10	99.52	1.22	0.35	1.00	92.86	67.62	99.52	1.20	0.32	1.00	91.90	68.10	99.52	1.16	0.39	1.00	91.43	62.86	99.52
Antigua and Barbuda	ATG	0.72	0.61	1.00	70.74	37.23	100.00	0.73	0.58	1.00	72.34	35.64	100.00	0.71	0.60	1.00	72.49	35.45	98.94	0.79	0.52	1.00	73.02	44.97	99.47	0.87	0.35	2.00	74.87	54.27	96.98	1.09	0.33	3.00	84.47	63.11	100.00	0.83	0.33	3.00	73.30	55.34	95.63	0.80	0.33	3.00	71.98	53.62	96.14	0.80	0.31	3.00	75.85	53.62	96.62	0.81	0.31	3.00	75.00	55.29	96.15	0.72	0.32	3.00	71.56	51.18	92.89	0.90	0.32	3.00	79.15	57.82	97.16	0.96	0.31	3.00	79.62	62.09	98.10	0.98	0.28	3.00	80.57	63.03	98.58	0.96	0.30	3.00	79.62	62.56	98.10	0.98	0.24	3.00	81.43	65.71	97.14	1.00	0.25	4.00	86.19	65.24	97.62	0.88	0.25	4.00	75.71	61.90	94.29	0.75	0.26	4.00	71.43	58.57	90.48	0.85	0.25	4.00	74.29	60.48	92.86	0.96	0.28	4.00	81.90	61.90	96.19
Australia	AUS	1.40	0.37	4.00	96.28	72.87	100.00	1.07	0.35	4.00	82.98	63.30	100.00	1.33	0.31	5.00	93.12	75.13	100.00	1.19	0.29	6.00	89.42	70.37	99.47	0.88	0.28	6.00	75.88	59.30	96.48	0.94	0.28	7.00	78.64	62.14	97.57	0.89	0.27	7.00	76.21	60.68	95.63	0.94	0.27	7.00	78.74	60.87	98.55	0.93	0.26	7.00	78.74	61.84	98.55	0.96	0.26	7.00	80.29	63.46	99.04	0.86	0.24	8.00	76.78	61.61	92.89	0.89	0.24	8.00	78.20	62.56	93.84	0.94	0.24	9.00	74.88	63.51	96.21	1.00	0.22	9.00	82.46	67.30	96.21	1.03	0.23	9.00	83.41	66.82	98.10	1.03	0.19	9.00	85.24	69.52	97.14	0.88	0.20	9.00	75.71	62.86	92.86	1.05	0.20	9.00	89.05	70.95	96.19	0.89	0.21	9.00	79.52	65.24	92.86	1.00	0.21	9.00	85.24	67.62	95.24	1.09	0.23	8.00	88.57	70.00	96.67
Austria	AUT	1.41	0.37	4.00	96.81	72.87	100.00	1.11	0.35	4.00	88.30	65.43	100.00	0.82	0.31	5.00	76.19	59.26	93.12	1.36	0.29	6.00	94.71	77.25	100.00	0.96	0.28	6.00	80.40	63.32	96.98	1.09	0.28	7.00	84.95	66.50	99.51	1.11	0.27	7.00	86.41	66.02	99.51	1.08	0.27	7.00	86.47	65.22	100.00	1.28	0.26	7.00	96.14	77.29	100.00	1.34	0.26	7.00	98.56	78.37	100.00	1.19	0.24	8.00	91.00	73.46	100.00	1.15	0.24	8.00	89.10	71.56	99.53	1.19	0.24	9.00	91.47	70.62	99.53	1.34	0.22	9.00	96.21	81.52	99.53	1.36	0.23	9.00	96.21	81.99	99.53	1.27	0.19	9.00	95.24	78.57	99.52	1.14	0.20	9.00	90.48	72.38	98.57	0.91	0.20	9.00	77.14	65.24	93.33	1.05	0.21	9.00	86.67	70.00	96.67	0.91	0.21	9.00	80.48	64.76	92.38	0.98	0.23	8.00	82.86	67.14	94.76
Azerbaijan	AZE	-0.83	0.41	3.00	21.28	9.04	42.02	-0.70	0.35	4.00	22.87	11.17	38.83	-0.83	0.34	4.00	20.11	10.58	35.45	-1.19	0.32	4.00	16.40	4.76	26.46	-0.95	0.30	4.00	21.11	9.55	30.15	-1.06	0.29	5.00	16.99	6.80	26.21	-1.13	0.28	6.00	16.99	6.31	25.73	-1.09	0.27	6.00	16.43	8.21	26.09	-0.63	0.26	6.00	25.60	16.43	37.68	-0.33	0.26	6.00	32.69	19.71	47.60	-0.28	0.25	7.00	35.55	22.75	48.82	-0.24	0.24	7.00	36.49	25.59	51.66	-0.53	0.24	7.00	29.86	19.43	41.23	-0.72	0.23	7.00	23.22	15.64	36.97	-0.41	0.23	7.00	33.65	20.38	45.50	-0.56	0.20	7.00	26.19	16.67	36.67	-0.73	0.21	7.00	21.90	12.86	32.38	-0.80	0.21	7.00	18.57	10.95	28.10	-0.75	0.22	7.00	19.05	11.90	30.48	-0.70	0.22	7.00	21.43	12.86	34.76	-0.68	0.24	6.00	21.90	12.38	35.71
Burundi	BDI	-2.11	0.48	2.00	3.19	0.00	9.04	-2.29	0.44	2.00	1.60	0.00	7.98	-2.02	0.46	2.00	2.12	0.00	12.17	-2.29	0.44	2.00	0.53	0.00	9.52	-2.24	0.35	2.00	1.51	0.00	5.53	-2.52	0.33	3.00	0.97	0.00	3.88	-1.52	0.33	3.00	6.80	1.94	18.45	-1.43	0.28	5.00	9.18	4.35	17.87	-1.38	0.28	5.00	9.66	6.28	17.87	-1.64	0.28	5.00	9.13	2.40	13.46	-1.27	0.28	5.00	12.80	5.21	19.91	-1.63	0.27	5.00	6.64	3.32	12.32	-1.81	0.27	5.00	4.74	1.90	9.95	-1.70	0.24	6.00	5.69	2.37	10.43	-1.35	0.24	6.00	8.53	5.21	18.01	-0.78	0.21	6.00	20.48	10.48	29.52	-1.94	0.22	6.00	5.71	2.38	7.62	-1.97	0.22	6.00	5.71	2.86	8.57	-2.01	0.23	6.00	4.29	1.90	8.10	-1.56	0.23	6.00	7.62	5.24	11.43	-1.65	0.25	5.00	7.14	4.29	11.43
Belgium	BEL	1.29	0.37	4.00	92.02	68.09	100.00	1.02	0.35	4.00	81.91	63.30	99.47	1.13	0.31	5.00	83.60	69.84	98.94	1.26	0.29	6.00	91.53	73.02	99.47	0.86	0.28	6.00	74.37	59.30	95.98	0.71	0.28	7.00	71.84	53.88	90.78	0.80	0.27	7.00	70.39	55.83	91.26	0.86	0.27	7.00	73.91	58.94	95.17	0.76	0.26	7.00	72.46	54.59	92.75	0.62	0.26	7.00	67.79	50.96	85.10	0.82	0.24	8.00	75.36	60.66	91.47	0.81	0.24	8.00	74.41	60.19	90.52	0.95	0.24	9.00	78.20	63.51	97.16	0.92	0.22	9.00	76.30	63.51	93.36	0.94	0.23	9.00	77.73	64.93	94.31	0.70	0.19	9.00	69.52	59.05	84.29	0.59	0.20	9.00	64.76	56.67	77.62	0.44	0.20	9.00	61.90	49.05	72.86	0.43	0.21	9.00	62.38	49.05	72.38	0.41	0.21	9.00	59.52	50.00	71.43	0.48	0.23	8.00	61.90	50.48	75.24
Benin	BEN	1.05	0.48	2.00	84.57	56.91	100.00	0.74	0.44	2.00	72.87	45.21	98.40	0.80	0.46	2.00	74.60	47.09	96.30	0.82	0.44	2.00	73.54	48.15	96.83	0.68	0.35	2.00	69.35	47.24	94.97	0.27	0.33	3.00	54.37	35.92	74.27	0.45	0.32	4.00	59.71	42.23	78.64	0.55	0.26	6.00	63.29	49.28	80.19	0.39	0.25	6.00	57.97	41.55	75.85	0.37	0.26	6.00	56.73	42.31	72.60	0.40	0.26	6.00	60.19	43.13	75.83	0.26	0.25	6.00	53.55	40.28	67.77	0.32	0.25	6.00	57.35	41.23	69.19	0.36	0.24	6.00	58.29	43.13	70.14	0.30	0.24	6.00	58.29	42.65	67.77	0.03	0.21	5.00	47.14	34.29	59.05	-0.01	0.22	6.00	45.24	33.33	57.62	0.00	0.22	6.00	47.14	32.38	58.57	0.03	0.23	6.00	46.67	32.38	61.43	-0.13	0.23	6.00	41.43	29.05	53.81	-0.35	0.25	5.00	34.29	19.52	49.52
Burkina Faso	BFA	-0.30	0.42	3.00	37.23	18.09	60.11	-0.11	0.38	3.00	40.96	21.28	64.36	0.06	0.40	3.00	48.68	26.98	70.90	-0.31	0.39	3.00	33.33	20.11	57.14	0.07	0.33	3.00	45.73	29.65	65.83	-0.08	0.32	4.00	42.23	26.21	61.65	-0.06	0.31	4.00	43.20	28.16	59.71	0.16	0.25	7.00	50.72	38.16	63.77	0.31	0.24	7.00	54.59	39.61	70.53	0.12	0.25	7.00	49.04	35.10	62.98	0.03	0.25	7.00	45.97	31.28	61.14	-0.12	0.24	7.00	41.23	27.01	54.03	-0.56	0.24	7.00	28.91	18.48	40.76	-0.57	0.22	8.00	27.01	18.48	39.34	-0.76	0.23	8.00	21.80	14.22	35.07	-0.79	0.20	8.00	20.00	10.95	29.05	-0.61	0.21	7.00	25.24	16.67	35.71	-0.87	0.21	7.00	16.67	10.95	25.24	-0.93	0.22	7.00	15.71	9.52	26.19	-1.05	0.22	7.00	13.33	8.10	21.90	-1.19	0.23	7.00	11.90	7.62	18.57
Bangladesh	BGD	-0.55	0.37	4.00	26.60	12.23	49.47	-0.37	0.35	4.00	33.51	18.09	53.72	-0.72	0.34	4.00	24.87	12.17	40.21	-1.03	0.30	5.00	19.05	10.05	28.04	-1.12	0.29	5.00	16.58	6.03	27.64	-1.36	0.29	6.00	10.19	4.37	18.93	-1.86	0.28	6.00	4.37	0.49	10.19	-1.51	0.25	7.00	8.70	2.90	16.43	-1.54	0.24	7.00	9.18	4.35	14.01	-1.51	0.25	7.00	9.62	4.33	14.42	-1.54	0.25	7.00	9.00	4.27	14.69	-1.43	0.24	7.00	9.95	4.27	15.64	-1.40	0.24	8.00	9.00	4.74	16.59	-1.38	0.22	8.00	9.00	5.21	17.54	-1.63	0.23	8.00	7.58	4.27	10.43	-0.90	0.20	8.00	16.67	9.05	25.71	-1.21	0.20	8.00	10.00	7.62	18.57	-1.26	0.21	8.00	10.95	8.57	15.24	-1.26	0.22	8.00	10.48	8.57	16.19	-0.99	0.21	8.00	13.81	9.05	22.86	-0.92	0.23	7.00	15.24	10.48	26.67
Bulgaria	BGR	-0.09	0.37	4.00	44.68	22.87	62.23	0.58	0.35	4.00	66.49	45.21	88.83	0.38	0.34	4.00	61.90	39.68	79.89	0.47	0.30	5.00	64.02	46.03	82.54	0.17	0.29	5.00	49.75	36.18	68.34	0.00	0.29	6.00	45.15	29.61	62.14	0.15	0.28	6.00	51.46	36.41	65.05	0.40	0.25	8.00	57.49	45.41	71.50	0.36	0.24	8.00	56.04	41.55	71.98	0.37	0.24	8.00	56.25	43.75	72.12	0.35	0.24	8.00	55.92	42.18	72.04	0.36	0.24	8.00	57.82	44.55	71.56	0.30	0.24	9.00	55.92	41.71	68.72	0.38	0.22	9.00	58.77	45.50	69.67	0.17	0.23	9.00	53.08	38.86	64.45	0.08	0.19	9.00	49.52	36.67	59.05	0.02	0.20	9.00	46.67	35.24	57.62	0.08	0.20	9.00	49.05	36.19	60.95	0.33	0.21	9.00	59.52	45.71	69.52	0.46	0.21	9.00	61.90	52.86	71.90	0.54	0.23	8.00	66.19	53.81	79.05
Bahrain	BHR	-0.31	0.37	4.00	36.70	20.74	57.45	-0.16	0.35	4.00	37.77	21.81	61.17	0.06	0.34	4.00	48.15	30.16	69.84	0.28	0.32	4.00	53.97	39.15	73.02	0.48	0.30	4.00	62.31	41.21	80.90	0.31	0.29	6.00	55.83	39.81	73.79	0.01	0.28	6.00	46.60	33.50	61.17	-0.37	0.27	6.00	32.37	22.22	48.79	-0.25	0.26	6.00	36.71	23.67	48.79	-0.24	0.26	6.00	36.54	23.56	50.96	-0.14	0.25	7.00	40.76	27.01	52.61	-0.49	0.24	7.00	28.91	19.43	42.18	-0.95	0.24	7.00	18.96	10.43	29.38	-1.13	0.23	7.00	15.64	7.11	21.80	-1.34	0.23	7.00	9.00	6.16	18.01	-0.91	0.20	7.00	15.71	9.05	25.71	-1.07	0.21	7.00	12.38	9.05	21.43	-0.79	0.21	7.00	19.52	10.95	28.10	-0.96	0.22	6.00	14.29	9.05	25.24	-0.84	0.22	6.00	17.62	11.43	29.05	-0.66	0.24	6.00	22.38	12.86	36.19
Bahamas. The	BHS	1.07	0.42	3.00	85.64	59.57	100.00	1.09	0.38	3.00	85.11	63.30	100.00	1.28	0.40	3.00	91.01	69.84	100.00	0.96	0.39	3.00	82.54	56.61	97.88	0.83	0.33	3.00	72.36	54.27	96.98	0.89	0.32	4.00	77.18	58.74	98.06	0.94	0.31	4.00	78.16	58.74	99.51	0.81	0.32	4.00	72.46	54.11	96.14	0.73	0.29	4.00	71.01	52.17	92.75	0.77	0.29	4.00	72.60	55.29	94.71	0.86	0.27	5.00	77.73	60.66	94.79	0.99	0.27	5.00	83.89	64.45	97.16	1.10	0.26	5.00	88.15	68.72	99.05	1.18	0.24	5.00	90.52	72.51	99.53	1.13	0.25	5.00	90.52	67.77	99.53	0.96	0.21	5.00	79.05	66.67	97.14	0.91	0.21	6.00	77.14	62.86	94.76	0.98	0.22	6.00	80.95	66.19	95.71	0.99	0.22	6.00	82.86	66.67	96.19	0.87	0.22	6.00	78.10	63.81	91.90	0.83	0.24	6.00	74.76	59.52	93.33
Bosnia and Herzegovina	BIH	-0.59	0.41	3.00	25.53	9.57	49.47	-0.58	0.38	3.00	27.66	12.23	46.81	-0.53	0.38	3.00	30.16	13.76	49.21	-0.16	0.34	3.00	41.27	25.40	60.32	-0.40	0.32	3.00	32.66	21.11	47.74	0.02	0.30	5.00	45.63	29.13	63.11	-0.50	0.29	5.00	30.58	18.45	45.15	-0.44	0.28	5.00	31.40	19.32	46.38	-0.63	0.28	5.00	25.12	15.94	38.16	-0.54	0.28	5.00	27.88	15.87	40.38	-0.67	0.28	5.00	23.70	14.69	38.39	-0.69	0.27	5.00	24.64	13.27	36.02	-0.82	0.27	4.00	20.38	12.32	34.12	-0.54	0.23	7.00	28.44	18.48	39.81	-0.40	0.24	7.00	34.12	20.38	45.50	-0.02	0.21	6.00	44.76	30.48	58.10	-0.40	0.21	7.00	31.90	21.43	43.33	-0.40	0.22	7.00	30.95	20.00	45.24	-0.35	0.22	7.00	32.38	20.00	46.19	-0.39	0.22	7.00	31.90	19.52	45.24	-0.40	0.24	6.00	30.48	18.57	46.67
